name,date,qc.overallStatus
174150_S52/B.1.1/2020-12-23,2020-12-23,good
174152_S53/B.1.1/2020-12-23,2020-12-23,good
174174_S54/B.1.1.28/2020-12-23,2020-12-23,good
174177_S55/B.1.1/2020-12-23,2020-12-23,good
174180_S56/B.1.1.411/2020-12-23,2020-12-23,good
174182_S37/B.1.1/2020-12-23,2020-12-23,mediocre
174183_S38/B.1.177/2020-12-23,2020-12-23,good
174192G5_S39/B.1.1/2020-12-24,2020-12-24,good
174192_S29/B.1.1.28/2020-12-24,2020-12-24,good
174195_S42/B.1.1/2020-12-24,2020-12-24,good
174200_S43/B.1.1.28/2020-12-23,2020-12-23,good
174201_S44/B.1.1/2020-12-23,2020-12-23,good
174203_S45/B.1.1/2020-12-23,2020-12-23,good
174204_S46/B.1.1/2020-12-23,2020-12-23,good
174206_S27/B.1.1.28/2020-12-23,2020-12-23,good
174207_S28/B.1.1.28/2020-12-24,2020-12-24,good
174235_S41/B.1.1.411/2020-12-24,2020-12-24,good
174248_S30/B.1.1.411/2020-12-24,2020-12-24,good
174251_S31/B.1.1.348/2020-12-24,2020-12-24,good
174257_S32/B.1.1.348/2020-12-21,2020-12-21,good
174258_S33/B.1.1.348/2020-12-21,2020-12-21,good
174259_S34/B.1.1.348/2020-12-21,2020-12-21,good
174262_S35/B.1.1.348/2020-12-22,2020-12-22,good
174263_S36/B.1.1.348/2020-12-22,2020-12-22,good
175_S5/B.1.1/2020-05-07,2020-05-07,good
176_S6/B.1.1/2020-05-08,2020-05-08,good
177831_S68/B.1.1/2021-01-01,2021-01-01,good
177834_S69/B.1.1.411/2020-12-31,2020-12-31,good
178304_S71/B.1.1.1/2021-01-04,2021-01-04,good
179083_S62/B.1.1/2021-01-05,2021-01-05,good
179320_S63/B.1.1/2021-01-06,2021-01-06,good
180278_S66/B.1.1.348/2021-01-06,2021-01-06,good
180352_S70/B.1.1.117/2021-01-06,2021-01-06,good
184052_S64/B.1.1.348/2021-01-11,2021-01-11,good
187_S15/B.1.1/2020-05-08,2020-05-08,mediocre
189607_S61/B.1.1.1/2021-01-13,2021-01-13,good
194731_S65/B.1.1.411/2021-01-19,2021-01-19,good
197239_S52/B.1.1/2021-01-21,2021-01-21,good
198495_S67/B.1.1.411/2021-01-21,2021-01-21,good
1_S1/B.1.1/2020-03-18,2020-03-18,good
200_S22/B.1.1/2020-05-08,2020-05-08,mediocre
201715_S72/A.2.5/2021-01-22,2021-01-22,good
205_S25/B.1.1/2020-05-09,2020-05-09,good
206_S26/B.1.1/2020-05-07,2020-05-07,good
208_S28/B.1.1/2020-05-07,2020-05-07,good
209_S29/B.1.1/2020-05-09,2020-05-09,mediocre
210_S30/B.1.1/2020-05-09,2020-05-09,mediocre
213_S32/B.1.1/2020-05-15,2020-05-15,mediocre
214390_S76/B.1.1.54/2021-02-03,2021-02-03,mediocre
214392_S79/B.1.1.54/2021-02-03,2021-02-03,mediocre
214394_S81/B.1.1.348/2021-02-03,2021-02-03,good
214396_S83/B.1.1/2021-02-01,2021-02-01,good
214667_S86/B.1.1.1/2021-02-03,2021-02-03,good
214669_S89/B.1.1.1/2021-02-03,2021-02-03,good
214671_S91/B.1.1.1/2021-02-03,2021-02-03,good
214674_S93/B.1.1.1/2021-02-03,2021-02-03,good
214675_S95/B.1.1/2021-02-03,2021-02-03,mediocre
214680_S74/B.1.1/2021-02-03,2021-02-03,mediocre
214684_S77/B.1.1/2021-02-03,2021-02-03,mediocre
214705_S84/B.1.1.1/2021-02-03,2021-02-03,good
214707_S87/B.1.1.348/2021-02-03,2021-02-03,good
214717_S92/B.1.526/2021-02-02,2021-02-02,good
214720_S94/B.1.526/2021-02-03,2021-02-03,good
214721_S96/B.1.1.411/2021-02-01,2021-02-01,good
214724_S75/B.1/2021-02-03,2021-02-03,mediocre
214734_S78/B.1.1/2021-02-03,2021-02-03,mediocre
214735_S80/B.1.1/2021-02-02,2021-02-02,mediocre
214749_S82/B.1.1.411/2021-02-03,2021-02-03,good
214750_S85/B.1.1.411/2021-02-03,2021-02-03,good
214751_S88/B.1.1/2021-02-03,2021-02-03,mediocre
214754_S90/B.1.1/2021-02-03,2021-02-03,mediocre
214831_S73/B.1.1.348/2021-02-03,2021-02-03,good
214_S33/B.1.1/2020-05-17,2020-05-17,good
222_S35/B.1.1/2020-05-17,2020-05-17,good
22_S14/B.1.1/2020-03-20,2020-03-20,mediocre
232_S36/B.1.1/2020-05-20,2020-05-20,good
23358_S38/B.1.1/2020-04-23,2020-04-23,good
237_S37/B.1.1/2020-05-21,2020-05-21,good
238_S38/B.1.1.132/2020-05-20,2020-05-20,mediocre
241_S40/B.1.1/2020-05-22,2020-05-22,mediocre
2451_S13/B.1.1/2020-03-23,2020-03-23,good
2454_S1/B.1.1/2020-03-23,2020-03-23,good
2463_S2/B.1.1/2020-03-23,2020-03-23,good
2468_S3/B.1.1/2020-03-23,2020-03-23,good
2476_S4/B.1.1/2020-03-23,2020-03-23,good
2490_S5/B.1.1/2020-03-23,2020-03-23,good
2492_S6/B.1.1/2020-03-23,2020-03-23,good
2495_S7/B.1.1/2020-03-16,2020-03-16,good
2498_S8/B.1.1/2020-03-23,2020-03-23,good
2514_S9/B.1.1/2020-03-23,2020-03-23,good
2520_S10/B.1.1/2020-03-23,2020-03-23,good
257_S43/B.1.1/2020-05-31,2020-05-31,good
2639_S11/B.1.1.291/2020-03-25,2020-03-25,good
2640_S12/B.1.1/2020-03-25,2020-03-25,good
2641_S13/B.1.1/2020-03-25,2020-03-25,good
2650_S14/B.1.1/2020-03-25,2020-03-25,good
2651_S15/B.1.1/2020-03-25,2020-03-25,mediocre
2653_S16/B.1.1.409/2020-03-25,2020-03-25,mediocre
2656_S17/C.35/2020-03-23,2020-03-23,good
266_S44/B.1.1/2020-05-30,2020-05-30,mediocre
2670_S18/B.1.1/2020-03-23,2020-03-23,good
2673_S20/B.1.1/2020-03-23,2020-03-23,mediocre
2675_S21/B.1.1/2020-03-23,2020-03-23,good
2684_S22/B.1.1/2020-03-23,2020-03-23,mediocre
2688_S23/B.1.1/2020-03-23,2020-03-23,good
2692_S24/B.1.1/2020-03-23,2020-03-23,good
2694_S25/B.1.1/2020-03-23,2020-03-23,good
2696_S26/B.1.1/2020-03-23,2020-03-23,good
2700_S27/B.1.1/2020-03-23,2020-03-23,good
2704_S28/B.1.1/2020-03-23,2020-03-23,good
278_S46/C.35/2020-05-27,2020-05-27,good
27_S17/B.1.1/2020-03-20,2020-03-20,good
281_S48/B.1.1/2020-06-01,2020-06-01,mediocre
28826_S39/B.1.1/2020-04-30,2020-04-30,good
28827_S40/B.1.1/2020-04-30,2020-04-30,mediocre
28908_S45/B.1.1/2020-04-30,2020-04-30,mediocre
28920_S46/B.1.1/2020-04-29,2020-04-29,good
2908_S29/B.1.1.326/2020-03-23,2020-03-23,good
2911_S30/B.1.1/2020-03-24,2020-03-24,good
2912_S31/B.1.1/2020-03-24,2020-03-24,good
2913_S32/B.1.1/2020-03-24,2020-03-24,good
2914_S33/B.1.1.231/2020-03-24,2020-03-24,good
2918_S34/B.1.1/2020-03-24,2020-03-24,good
2922_S35/B.1.1/2020-03-24,2020-03-24,good
2926_S36/B.1.1/2020-03-26,2020-03-26,good
2930_S37/B.1.1/2020-03-24,2020-03-24,good
2931_S38/B.1.1/2020-03-25,2020-03-25,good
2935_S39/B.1.1/2020-03-23,2020-03-23,good
2940_S40/B.1.1/2020-03-25,2020-03-25,good
2943_S42/B.1.1/2020-03-24,2020-03-24,good
2944_S43/B.1.1/2020-03-24,2020-03-24,mediocre
2945_S44/B.1.1/2020-03-24,2020-03-24,good
2948_S45/B.1.1/2020-03-24,2020-03-24,good
2949_S46/B.1.1/2020-03-24,2020-03-24,good
2950_S47/C.35/2020-03-24,2020-03-24,good
2954_S48/B.1.1/2020-03-24,2020-03-24,good
2955_S49/B.1.1/2020-03-24,2020-03-24,good
29890_S20/B.1.1.409/2020-04-25,2020-04-25,mediocre
2995_S50/B.1.1/2020-03-24,2020-03-24,good
29_S19/B.1.1/2020-03-21,2020-03-21,mediocre
30045_S49/B.1.1/2020-04-28,2020-04-28,mediocre
3006_S51/B.1.1/2020-03-24,2020-03-24,good
3007_S52/B.1.1/2020-03-23,2020-03-23,good
3008_S53/B.1.1/2020-03-24,2020-03-24,good
300_S55/B.1.1/2020-06-02,2020-06-02,good
30129_S51/B.1.1/2020-05-01,2020-05-01,mediocre
3029_S54/B.1.1/2020-03-24,2020-03-24,good
3030_S55/B.1.1/2020-03-24,2020-03-24,good
3032_S56/B.1.1/2020-03-24,2020-03-24,good
3035_S57/B.1/2020-03-24,2020-03-24,good
3037_S58/B.1/2020-03-25,2020-03-25,good
3043_S59/B.1.1/2020-03-24,2020-03-24,good
3045_S60/B.1.1/2020-03-25,2020-03-25,mediocre
3048_S61/B.1.1/2020-03-24,2020-03-24,good
3049_S62/C.35/2020-03-24,2020-03-24,good
304_S56/B.1.1/2020-06-03,2020-06-03,mediocre
3050_S63/B.1.1/2020-03-24,2020-03-24,good
3053_S64/B.1.1/2020-03-24,2020-03-24,good
3054_S65/B.1.1/2020-03-24,2020-03-24,good
3056_S66/B.1.1/2020-03-24,2020-03-24,good
3066_S67/B.1.1/2020-03-25,2020-03-25,good
3067_S68/B.1.1/2020-03-25,2020-03-25,good
3070_S69/B.1.1/2020-03-25,2020-03-25,good
3127_S12/B.1.1/2020-03-25,2020-03-25,good
315_S57/B.1.1/2020-06-04,2020-06-04,mediocre
334_S70/B.1.1/2020-06-29,2020-06-29,mediocre
