Entity;Code;Day;stringency_index
Ecuador;ECU;28.08.2021;65
Ecuador;ECU;29.08.2021;65
Ecuador;ECU;30.08.2021;65
Ecuador;ECU;31.08.2021;65
Ecuador;ECU;01.09.2021;63
Ecuador;ECU;02.09.2021;63
Ecuador;ECU;03.09.2021;63
Ecuador;ECU;04.09.2021;63
Ecuador;ECU;05.09.2021;63
Ecuador;ECU;06.09.2021;63
Ecuador;ECU;07.09.2021;63
Ecuador;ECU;08.09.2021;63
Ecuador;ECU;09.09.2021;63
Ecuador;ECU;10.09.2021;63
Ecuador;ECU;11.09.2021;63
Ecuador;ECU;12.09.2021;63
Ecuador;ECU;13.09.2021;63
Ecuador;ECU;14.09.2021;63
Ecuador;ECU;15.09.2021;63
Ecuador;ECU;16.09.2021;63
Ecuador;ECU;17.09.2021;63
Ecuador;ECU;18.09.2021;63
Ecuador;ECU;19.09.2021;63
Ecuador;ECU;20.09.2021;63
Ecuador;ECU;21.09.2021;51
Ecuador;ECU;22.09.2021;51
Ecuador;ECU;23.09.2021;51
Ecuador;ECU;24.09.2021;51
Ecuador;ECU;25.09.2021;51
Ecuador;ECU;26.09.2021;51
Ecuador;ECU;27.09.2021;51
Ecuador;ECU;28.09.2021;51
Ecuador;ECU;29.09.2021;51
Ecuador;ECU;30.09.2021;51
Ecuador;ECU;01.10.2021;58
Ecuador;ECU;02.10.2021;58
Ecuador;ECU;03.10.2021;58
Ecuador;ECU;04.10.2021;58
Ecuador;ECU;05.10.2021;60
Ecuador;ECU;06.10.2021;60
Ecuador;ECU;07.10.2021;60
Ecuador;ECU;08.10.2021;60
Ecuador;ECU;09.10.2021;60
Ecuador;ECU;10.10.2021;60
Ecuador;ECU;11.10.2021;60
Ecuador;ECU;12.10.2021;60
Ecuador;ECU;13.10.2021;60
Ecuador;ECU;14.10.2021;60
Ecuador;ECU;15.10.2021;60
Ecuador;ECU;16.10.2021;60
Ecuador;ECU;17.10.2021;60
Ecuador;ECU;18.10.2021;60
Ecuador;ECU;19.10.2021;60
Ecuador;ECU;20.10.2021;60
Ecuador;ECU;21.10.2021;60
Ecuador;ECU;22.10.2021;60
Ecuador;ECU;23.10.2021;60
Ecuador;ECU;24.10.2021;60
Ecuador;ECU;25.10.2021;60
Ecuador;ECU;26.10.2021;57
Ecuador;ECU;27.10.2021;57
Ecuador;ECU;28.10.2021;57
Ecuador;ECU;29.10.2021;57
Ecuador;ECU;30.10.2021;57
Ecuador;ECU;31.10.2021;57
Ecuador;ECU;01.11.2021;57
Ecuador;ECU;02.11.2021;57
Ecuador;ECU;03.11.2021;57
Ecuador;ECU;04.11.2021;57
Ecuador;ECU;05.11.2021;57
