name	nameseq	pangolineage	date	state
150084_S49/B.1.1/2020-10-30/MANABI	150084_S49	B.1.1	2020-10-30	MANABI
150086_S50/B.1.1/2020-10-31/MANABI	150086_S50	B.1.1	2020-10-31	MANABI
150117_S51/B.1.1/2020-10-30/MANABI	150117_S51	B.1.1	2020-10-30	MANABI
150120_S52/B.1.1/2020-10-30/MANABI	150120_S52	B.1.1	2020-10-30	MANABI
150180_S53/B.1.1/2020-10-31/GUAYAS	150180_S53	B.1.1	2020-10-31	GUAYAS
150203_S54/B.1.1/2020-10-31/MANABI	150203_S54	B.1.1	2020-10-31	MANABI
150205_S55/B.1.1/2020-10-31/MANABI	150205_S55	B.1.1	2020-10-31	MANABI
150206_S56/B.1.1/2020-10-31/MANABI	150206_S56	B.1.1	2020-10-31	MANABI
150209_S57/B.1.1/2020-10-31/MANABI	150209_S57	B.1.1	2020-10-31	MANABI
150213_S58/B.1.1/2020-10-29/GUAYAS	150213_S58	B.1.1	2020-10-29	GUAYAS
150215_S59/B.1.1.203/2020-10-29/MANABI	150215_S59	B.1.1.203	2020-10-29	MANABI
150219_S60/B.1.1/2020-10-29/MANABI	150219_S60	B.1.1	2020-10-29	MANABI
150226_S61/B.1.1.203/2020-10-30/MANABI	150226_S61	B.1.1.203	2020-10-30	MANABI
150229_S62/B.1.1/2020-10-30/MANABI	150229_S62	B.1.1	2020-10-30	MANABI
150233_S63/B.1.1.194/2020-10-30/MANABI	150233_S63	B.1.1.194	2020-10-30	MANABI
150240H8_S64/B.1.1/2020-10-31/SANTO_DOMINGO	150240H8_S64	B.1.1	2020-10-31	SANTO_DOMINGO
150240_S27/B.1.1/2020-10-31/SANTO_DOMINGO	150240_S27	B.1.1	2020-10-31	SANTO_DOMINGO
150271_S65/B.1.1.1/2020-11-02/GUAYAS	150271_S65	B.1.1.1	2020-11-02	GUAYAS
150273_S66/B.1.1/2020-11-02/GUAYAS	150273_S66	B.1.1	2020-11-02	GUAYAS
150281_S67/B.1.1.441/2020-10-31/MANABI	150281_S67	B.1.1.441	2020-10-31	MANABI
150287_S68/B.1.1/2020-11-02/MANABI	150287_S68	B.1.1	2020-11-02	MANABI
150308_S30/B.1.1/2020-11-01/SANTA_ELENA	150308_S30	B.1.1	2020-11-01	SANTA_ELENA
150320_S69/B.1.1/2020-11-01/SANTA_ELENA	150320_S69	B.1.1	2020-11-01	SANTA_ELENA
